price,salon,room,sittingArea,gatheringRoom,storageRoom,kitchen,publicBathroom,workersHouse,numberOfRooms
13000000.0,1,1,1,1,1,1,1,1,2.0
33000000.0,1,1,1,1,1,1,1,1,1.0
2366431.0,1,1,1,1,1,1,1,1,2.0
130000.0,1,1,1,1,1,1,1,1,3.0
3000000.0,1,1,1,1,1,1,1,1,4.0
14000000.0,1,1,1,1,1,1,1,1,6.0
1600000.0,1,1,1,1,1,1,1,1,2.0
15000000.0,1,1,1,1,1,1,1,1,5.0
100000.0,1,1,1,1,1,1,1,1,2.0
100000.0,1,1,1,1,1,1,1,1,4.0
15000000.0,1,1,1,1,1,1,1,1,3.0
44866293.0,1,1,1,1,1,1,1,1,2.0
40000000.0,1,1,1,1,1,1,1,1,3.0
385000.0,1,1,1,1,1,1,1,1,3.0
200000.0,1,1,1,1,1,1,1,1,3.0
135000.0,1,1,1,1,1,1,1,1,4.0
11000000.0,1,1,1,1,1,1,1,1,2.0
26280012.0,1,1,1,1,1,1,1,1,3.0
2000000.0,1,1,1,1,1,1,1,1,1.0
45000000.0,1,1,1,1,1,1,1,1,2.0
1400000.0,1,1,1,1,1,1,1,1,4.0
34241172.0,1,1,1,1,1,1,1,1,3.0
150000.0,1,1,1,1,1,1,1,1,2.0
28000000.0,1,1,1,1,1,1,1,1,4.0
250000.0,1,1,1,1,1,1,1,1,4.0
22241172.0,1,1,1,1,1,1,1,1,2.0
29000000.0,1,1,1,1,1,1,1,1,2.0
150000.0,1,1,1,1,1,1,1,1,2.0
49546950.0,1,1,1,1,1,1,1,1,4.0
21000000.0,1,1,1,1,1,1,1,1,4.0
2500000.0,1,1,1,1,1,1,1,1,3.0
7000000.0,1,1,1,1,1,1,1,1,4.0
140000.0,1,1,1,1,1,1,1,1,4.0
27828131.0,1,1,1,1,1,1,1,1,2.0
500000.0,1,1,1,1,1,1,1,1,4.0
1250000.0,1,1,1,1,1,1,1,1,2.0
150000.0,1,1,1,1,1,1,1,1,3.0
49105298.0,1,1,1,1,1,1,1,1,3.0
2236631.0,1,1,1,1,1,1,1,1,3.0
32000000.0,1,1,1,1,1,1,1,1,3.0
200000.0,1,1,1,1,1,1,1,1,3.0
200000.0,1,1,1,1,1,1,1,1,3.0
100000.0,1,1,1,1,1,1,1,1,2.0
